Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_2357,ND (below stat. threshold of conf.),-0.049,Uncharacterized protein,N/A,4.07E-01,5.61E-01,0.277061457,No,non-essential
Synpcc7942_2358,Increase,1.614,Nitrilase-like,N/A,5.29E-37,3.67E-35,0.274816843,No,non-essential
Synpcc7942_2359,Not analyzed,,Na+/H+ antiporter,nha3,,,0.208592643,No,essential
Synpcc7942_2360,ND (below stat. threshold of conf.),0.092,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),N/A,2.61E-01,4.06E-01,0.082940537,No,non-essential
Synpcc7942_2361,Not analyzed,,glutamate racemase,murI,,,0.06225616,No,essential
Synpcc7942_2362,Not analyzed,,Trans-hexaprenyltranstransferase,sds,,,0.240922778,No,essential
Synpcc7942_2363,ND (below stat. threshold of conf.),0.469,Uncharacterized protein,N/A,8.99E-03,3.00E-02,0.041624989,No,non-essential
Synpcc7942_2364,ND (below stat. threshold of conf.),-0.027,Uncharacterized protein,N/A,8.21E-01,8.87E-01,0.350543739,No,non-essential
Synpcc7942_2365,Negligable/minor,0.319,Peptide chain release factor 3 (RF-3),N/A,1.22E-05,8.55E-05,0.255073889,No,non-essential
Synpcc7942_2366,ND (below stat. threshold of conf.),-0.455,Uncharacterized protein,N/A,7.53E-03,2.60E-02,-0.020314758,No,non-essential
Synpcc7942_2367,Moderate increase,0.775,Uncharacterized protein,N/A,1.81E-10,2.29E-09,-0.164312376,No,non-essential
Synpcc7942_2368,ND (below stat. threshold of conf.),-0.083,Secretion protein HlyD,N/A,5.52E-01,6.85E-01,0.029641925,No,non-essential
Synpcc7942_2369,ND (below stat. threshold of conf.),0.018,Hydrophobe/amphiphile efflux-1 HAE1,N/A,8.19E-01,8.86E-01,-0.004067247,No,non-essential
Synpcc7942_2370,ND (below stat. threshold of conf.),-0.026,Uncharacterized protein,N/A,8.57E-01,9.11E-01,-0.048614224,No,non-essential
Synpcc7942_2371,ND (below stat. threshold of conf.),-0.617,Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129),N/A,2.58E-01,4.04E-01,0.016233366,No,beneficial
Synpcc7942_2372,Moderate decrease,-0.590,Uncharacterized protein,N/A,4.04E-08,3.94E-07,-0.263228401,No,non-essential
Synpcc7942_2373,ND (below stat. threshold of conf.),-0.238,Uncharacterized protein,N/A,3.25E-03,1.28E-02,-0.015735946,No,non-essential
Synpcc7942_2374,Negligable/minor,-0.334,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase (EC 2.8.4.3) ((Dimethylallyl)adenosine tRNA methylthiotransferase MiaB) (tRNA-i(6)A37 methylthiotransferase),N/A,1.62E-07,1.46E-06,0.173757928,No,non-essential
Synpcc7942_2375,Not analyzed,,D-alanyl-alanine synthetase A,ddl,,,-0.000326958,No,essential
Synpcc7942_2376,ND (below stat. threshold of conf.),-0.110,Uncharacterized protein,N/A,4.07E-01,5.61E-01,0.067005708,No,non-essential
Synpcc7942_2377,Not analyzed,,cell division protein FtsQ,N/A,,,-0.078173548,Yes,essential
Synpcc7942_2378,Not analyzed,,cell division protein FtsZ,ftsZ,,,-0.048042449,Yes,essential
Synpcc7942_2379,ND (below stat. threshold of conf.),-0.277,Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase),N/A,8.38E-03,2.83E-02,0.000752676,Yes,non-essential
Synpcc7942_2380,ND (below stat. threshold of conf.),0.012,Uncharacterized protein,N/A,9.33E-01,9.58E-01,0.031549683,No,non-essential
Synpcc7942_2381,Not analyzed,,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,,,0.200582233,No,essential
Synpcc7942_2382,ND (below stat. threshold of conf.),0.228,"Coproporphyrinogen III oxidase, anaerobic (EC 1.3.99.22)",N/A,4.08E-03,1.53E-02,-0.066586365,No,non-essential
Synpcc7942_2383,Not analyzed,,"Nucleotide binding protein, PINc","ircA, ycf81",,,-0.020065948,No,essential
Synpcc7942_2384,Negligable/minor,-0.176,Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-),N/A,8.85E-06,6.35E-05,-1.503742843,No,non-essential
Synpcc7942_2385,Negligable/minor,-0.251,Uncharacterized protein,N/A,5.39E-04,2.78E-03,-1.108810843,No,non-essential
Synpcc7942_2386,ND (below stat. threshold of conf.),0.016,Hydrogenase expression/formation protein HypD,N/A,8.56E-01,9.11E-01,-0.818886837,No,non-essential
Synpcc7942_2387,ND (below stat. threshold of conf.),-0.108,Uncharacterized protein,N/A,2.47E-01,3.94E-01,-1.104737165,No,non-essential
Synpcc7942_2388,ND (below stat. threshold of conf.),0.079,Oxalate decarboxylase (EC 4.1.1.2),N/A,5.51E-01,6.85E-01,-1.876808079,No,non-essential
Synpcc7942_2389,ND (below stat. threshold of conf.),-0.101,Heat shock protein DnaJ-like,N/A,2.14E-01,3.56E-01,0.125184046,No,non-essential
Synpcc7942_2390,ND (below stat. threshold of conf.),0.037,5-oxoprolinase (ATP-hydrolyzing) (EC 3.5.2.9),N/A,3.74E-01,5.25E-01,-0.005747389,No,non-essential
Synpcc7942_2391,ND (below stat. threshold of conf.),-0.018,Oxidoreductase-like,N/A,8.54E-01,9.10E-01,-0.362926813,No,non-essential
Synpcc7942_2392,ND (below stat. threshold of conf.),-0.635,Uncharacterized protein,N/A,1.55E-02,4.67E-02,-0.531049299,No,non-essential
Synpcc7942_2393,Not analyzed,,glutamyl-tRNA synthetase,gltX,,,0.153201821,No,essential
Synpcc7942_2394,Not analyzed,,Na+/H+ antiporter,nha6,,,0.049074028,No,essential
Synpcc7942_2395,ND (below stat. threshold of conf.),-0.358,Uncharacterized protein,N/A,2.40E-02,6.72E-02,-0.206987796,No,non-essential
Synpcc7942_2396,ND (below stat. threshold of conf.),0.750,HAD-superfamily phosphatase subfamily IIIA,N/A,1.16E-02,3.68E-02,0.515985133,Yes,beneficial
Synpcc7942_2397,ND (below stat. threshold of conf.),0.075,Uncharacterized protein,N/A,7.59E-01,8.41E-01,0.256948219,No,non-essential
Synpcc7942_2398,ND (below stat. threshold of conf.),-0.098,Putative pre-16S rRNA nuclease (EC 3.1.-.-),N/A,7.24E-01,8.12E-01,0.057541254,No,beneficial
Synpcc7942_2399,ND (below stat. threshold of conf.),0.468,Uncharacterized protein,N/A,1.92E-02,5.67E-02,0.139905278,No,non-essential
Synpcc7942_2400,Not analyzed,,hypothetical protein,N/A,,,0.167743638,No,essential
Synpcc7942_2401,ND (below stat. threshold of conf.),-0.197,Heat shock protein Hsp20,N/A,1.05E-01,2.12E-01,-0.124263468,No,non-essential
Synpcc7942_2402,Negligable/minor,-0.334,Uncharacterized protein,N/A,2.14E-04,1.19E-03,0.057456808,No,beneficial
Synpcc7942_2403,ND (below stat. threshold of conf.),-0.366,Uncharacterized protein,N/A,3.50E-03,1.37E-02,0.043864741,No,non-essential
Synpcc7942_2404,ND (below stat. threshold of conf.),-0.204,Uncharacterized protein,N/A,4.52E-02,1.09E-01,-0.381250656,No,non-essential
Synpcc7942_2405,ND (below stat. threshold of conf.),-0.224,Uncharacterized protein,N/A,1.67E-01,2.97E-01,0.13418738,No,non-essential
Synpcc7942_2406,Not analyzed,,FAD dependent oxidoreductase,thiO,,,-0.068685353,No,essential
Synpcc7942_2407,ND (below stat. threshold of conf.),-0.024,Uncharacterized protein,N/A,8.30E-01,8.93E-01,-0.239331053,No,non-essential
Synpcc7942_2408,ND (below stat. threshold of conf.),-0.363,Uncharacterized protein,N/A,4.39E-03,1.61E-02,0.295721129,No,non-essential
Synpcc7942_2409,Not analyzed,,adenylosuccinate synthetase,purA,,,0.142595124,No,essential
Synpcc7942_2410,Negligable/minor,-0.160,Adenosine deaminase (EC 3.5.4.4),N/A,9.90E-04,4.68E-03,0.28332201,No,non-essential
Synpcc7942_2411,Not analyzed,,hypothetical protein,N/A,,,0.019070947,No,essential
Synpcc7942_2412,ND (below stat. threshold of conf.),-0.251,"SPFH domain, Band 7 family protein",N/A,5.32E-01,6.69E-01,-0.467065948,No,non-essential
Synpcc7942_2413,ND (below stat. threshold of conf.),-0.039,Uncharacterized protein,N/A,8.62E-01,9.15E-01,-0.013110116,No,non-essential
Synpcc7942_2414,ND (below stat. threshold of conf.),-0.004,Uncharacterized protein,N/A,9.65E-01,9.78E-01,0.234740925,No,non-essential
Synpcc7942_2415,Not analyzed,,lysyl-tRNA synthetase,lysS,,,0.12052366,No,essential
Synpcc7942_2416,Negligable/minor,-0.249,"Two component transcriptional regulator, winged helix family",N/A,1.10E-03,5.05E-03,0.415252102,No,non-essential
Synpcc7942_2417,ND (below stat. threshold of conf.),-0.005,"Transcriptional regulator, ABC transporter",N/A,9.58E-01,9.76E-01,0.188033183,No,non-essential
Synpcc7942_2418,ND (below stat. threshold of conf.),-0.077,Probable HTH-type transcriptional regulator LrrA,N/A,2.80E-01,4.28E-01,0.079214328,No,non-essential
Synpcc7942_2419,ND (below stat. threshold of conf.),-0.183,Uncharacterized protein,N/A,1.28E-01,2.46E-01,-0.466304794,No,non-essential
Synpcc7942_2420,Not analyzed,,serine O-acetyltransferase,cysE,,,0.027754105,No,ambiguous
Synpcc7942_2421,ND (below stat. threshold of conf.),-0.149,High-affinity iron transporter,N/A,2.35E-02,6.61E-02,-0.019710189,No,non-essential
Synpcc7942_2422,Negligable/minor,0.271,Uncharacterized protein,N/A,4.61E-04,2.40E-03,-0.148841194,No,non-essential
Synpcc7942_2423,Not analyzed,,tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA,gidA,,,0.073215468,No,essential
Synpcc7942_2424,ND (below stat. threshold of conf.),-0.084,Uncharacterized protein,N/A,3.17E-01,4.70E-01,-0.065461592,No,non-essential
Synpcc7942_2425,Negligable/minor,-0.351,Chaperon-like protein for quinone binding in photosystem II,N/A,2.23E-03,9.29E-03,0.207125557,No,non-essential
Synpcc7942_2426,Not analyzed,,cytochrome b6f complex subunit PetM,petM,,,0.265500581,No,ambiguous
Synpcc7942_2427,Negligable/minor,-0.354,3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2),N/A,4.14E-06,3.09E-05,0.052228963,No,non-essential
Synpcc7942_2428,Increase,1.020,Biopolymer transport ExbD like protein,N/A,3.16E-16,6.58E-15,0.289154864,No,non-essential
Synpcc7942_2429,Increase,1.148,Biopolymer transport ExbB like protein,exbB2,1.47E-11,2.05E-10,0.317281902,No,non-essential
Synpcc7942_2430,ND (below stat. threshold of conf.),-0.154,"N(2),N(2)-dimethylguanosine tRNA methyltransferase",N/A,4.30E-02,1.05E-01,0.007732909,No,non-essential
Synpcc7942_2431,Negligable/minor,-0.167,Uncharacterized protein,N/A,1.34E-06,1.08E-05,-0.11967393,No,non-essential
Synpcc7942_2432,ND (below stat. threshold of conf.),-0.080,Uncharacterized protein,N/A,4.30E-01,5.82E-01,-0.141587953,No,non-essential
Synpcc7942_2433,Not analyzed,,hypothetical protein,N/A,,,-0.043200523,No,essential
Synpcc7942_2434,Not analyzed,,acetolactate synthase 3 regulatory subunit,"ilvH, ilvN",,,0.117981476,No,essential
Synpcc7942_2435,ND (below stat. threshold of conf.),-0.168,Uncharacterized protein,N/A,2.65E-01,4.11E-01,-0.119664599,No,non-essential
Synpcc7942_2436,ND (below stat. threshold of conf.),0.675,Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase),N/A,3.55E-02,9.12E-02,-0.125910353,No,non-essential
Synpcc7942_2437,Not analyzed,,isoleucyl-tRNA synthetase,ileS,,,-0.111747702,No,essential
Synpcc7942_2438,Not analyzed,,"putative CheA signal transduction histidine kinase, no good domain identification",N/A,,,-0.148007374,No,essential
Synpcc7942_2439,Not analyzed,,beta-carotene hydroxylase,"crtR, ctrR, bhy",,,0.103848895,No,essential
Synpcc7942_2440,ND (below stat. threshold of conf.),-0.411,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),N/A,5.71E-03,2.02E-02,-0.193903467,Yes,beneficial
Synpcc7942_2441,Not analyzed,,Phosphate transport system permease protein 1,"pstB, phoT",,,0.094135836,No,essential
Synpcc7942_2442,Not analyzed,,Phosphate transport system permease protein 2,"pstA, phoT",,,0.470269304,No,essential
Synpcc7942_2443,Not analyzed,,"Phosphate ABC transporter, permease protein PstC","pstC, phoW",,,0.433145034,No,essential
Synpcc7942_2444,ND (below stat. threshold of conf.),0.669,Phosphate binding protein,N/A,2.05E-02,5.95E-02,0.15533983,No,beneficial
Synpcc7942_2445,ND (below stat. threshold of conf.),0.061,Protein SphX,N/A,6.48E-01,7.57E-01,0.678127721,No,non-essential
Synpcc7942_2446,Not analyzed,,methionine aminopeptidase,map,,,-0.082327937,No,essential
Synpcc7942_2447,ND (below stat. threshold of conf.),-0.008,Uncharacterized protein,N/A,9.52E-01,9.71E-01,0.251222306,No,non-essential
Synpcc7942_2448,ND (below stat. threshold of conf.),0.006,GTPase HflX (GTP-binding protein HflX),N/A,9.27E-01,9.54E-01,0.025601606,No,non-essential
Synpcc7942_2449,Not analyzed,,1-Cys peroxiredoxin,1-cys prx,,,-0.424226578,No,essential
Synpcc7942_2450,Increase,1.691,General secretion pathway protein D,pilQ,9.04E-105,5.64E-102,-0.067612145,No,non-essential
Synpcc7942_2451,Increase,1.578,Putative type IV pilus assembly protein PilO,pilO,1.29E-50,1.34E-48,-0.054226341,No,non-essential
Synpcc7942_2452,Increase,1.699,Tfp pilus assembly protein PilN-like,N/A,4.37E-51,4.82E-49,0.079180991,No,non-essential
Synpcc7942_2453,Increase,1.702,Type IV pilus assembly protein PilM,pilM,4.08E-78,1.09E-75,0.046706283,No,non-essential
Synpcc7942_2454,ND (below stat. threshold of conf.),-0.194,Adenine phosphoribosyltransferase (EC 2.4.2.7),N/A,1.27E-02,4.01E-02,-0.074037422,No,non-essential
Synpcc7942_2455,Not analyzed,,hypothetical protein,N/A,,,-0.003710357,No,essential
Synpcc7942_2456,ND (below stat. threshold of conf.),-0.040,Uncharacterized protein,N/A,7.41E-01,8.24E-01,0.327095662,No,non-essential
Synpcc7942_2457,Not analyzed,,glycyl-tRNA synthetase subunit alpha,glyQ,,,0.092054274,No,essential
Synpcc7942_2458,Negligable/minor,-0.155,ComEC/Rec2-related protein,N/A,1.42E-03,6.36E-03,-0.312427058,No,non-essential
Synpcc7942_2459,ND (below stat. threshold of conf.),-0.103,SynR (Uncharacterized protein),N/A,5.79E-01,7.06E-01,-0.23133177,No,non-essential
Synpcc7942_2460,Not analyzed,,DNA-cytosine methyltransferase,N/A,,,-0.433403297,No,essential
Synpcc7942_2461,ND (below stat. threshold of conf.),0.087,Uncharacterized protein,N/A,4.76E-01,6.19E-01,-2.51292492,No,non-essential
Synpcc7942_2462,ND (below stat. threshold of conf.),-0.049,Probable sugar kinase,N/A,6.13E-01,7.32E-01,0.048339331,No,non-essential
Synpcc7942_2463,Not analyzed,,S-adenosylmethionine synthetase,"metX, metK",,,-0.022519578,No,essential
Synpcc7942_2464,ND (below stat. threshold of conf.),0.370,Putative N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9) (ManNAc-6-P epimerase),N/A,2.85E-03,1.16E-02,0.057217207,No,non-essential
Synpcc7942_2465,ND (below stat. threshold of conf.),-0.389,Uncharacterized protein,N/A,7.26E-02,1.59E-01,-0.45705321,No,non-essential
Synpcc7942_2466,ND (below stat. threshold of conf.),-0.122,"Two component transcriptional regulator, winged helix family",N/A,1.24E-01,2.41E-01,-0.175260685,No,non-essential
Synpcc7942_2467,Not analyzed,,shikimate 5-dehydrogenase,aroE,,,0.041851186,No,essential
Synpcc7942_2468,Not analyzed,,Heat shock protein Hsp70,"dnak2, dnaK",,,-0.328566394,No,essential
Synpcc7942_2469,ND (below stat. threshold of conf.),-0.294,Uncharacterized protein,N/A,5.98E-02,1.38E-01,0.23727462,No,non-essential
Synpcc7942_2470,Moderate decrease,-0.905,Uncharacterized protein,N/A,3.75E-15,7.15E-14,0.259689701,No,non-essential
Synpcc7942_2471,Not analyzed,,transcription antitermination protein NusB,nusB,,,0.246860939,No,essential
Synpcc7942_2472,Not analyzed,,signal recognition particle-docking protein FtsY,ffh,,,0.029776642,No,essential
Synpcc7942_2473,Not analyzed,,serine phosphatase,N/A,,,-0.552606015,No,essential
Synpcc7942_2474,ND (below stat. threshold of conf.),-0.067,Uncharacterized protein,N/A,5.89E-01,7.14E-01,-0.016183783,Yes,non-essential
Synpcc7942_2475,Not analyzed,,argininosuccinate lyase,argH,,,0.259930175,No,essential
Synpcc7942_2476,ND (below stat. threshold of conf.),-0.151,Uncharacterized protein,N/A,1.53E-01,2.81E-01,0.033560977,No,non-essential
Synpcc7942_2477,ND (below stat. threshold of conf.),-0.186,Uncharacterized protein,N/A,3.12E-02,8.25E-02,-0.081646758,No,non-essential
Synpcc7942_2478,ND (below stat. threshold of conf.),0.053,Photosystem II reaction center Psb28 protein,N/A,6.68E-01,7.70E-01,-0.170677647,No,non-essential
Synpcc7942_2479,Increase,1.149,Pilin-like protein,N/A,5.72E-15,1.03E-13,-0.180857228,No,non-essential
Synpcc7942_2480,ND (below stat. threshold of conf.),-0.204,"Prolyl 4-hydroxylase, alpha subunit (Uncharacterized protein)",N/A,6.24E-01,7.39E-01,-0.04753618,No,non-essential
Synpcc7942_2481,ND (below stat. threshold of conf.),-0.153,Uncharacterized protein,N/A,6.86E-02,1.52E-01,0.322520287,No,non-essential
Synpcc7942_2482,ND (below stat. threshold of conf.),0.129,Uncharacterized protein,N/A,4.67E-01,6.12E-01,0.059790599,No,non-essential
Synpcc7942_2483,ND (below stat. threshold of conf.),-0.126,Uncharacterized protein,N/A,1.42E-01,2.67E-01,0.137412078,No,non-essential
Synpcc7942_2484,Moderate increase,0.802,Uncharacterized protein,N/A,6.20E-13,9.76E-12,-0.518210012,No,non-essential
Synpcc7942_2485,Increase,1.192,Uncharacterized protein,N/A,1.59E-13,2.55E-12,-0.448929754,No,non-essential
Synpcc7942_2486,Increase,1.402,Uncharacterized protein,N/A,2.50E-56,3.35E-54,-0.584366688,No,non-essential
Synpcc7942_2487,ND (below stat. threshold of conf.),0.148,NAD(P)H-quinone oxidoreductase subunit O (EC 1.6.5.-) (NAD(P)H dehydrogenase I subunit O) (NDH-1 subunit O) (NDH-O),N/A,5.18E-01,6.56E-01,0.158761376,No,non-essential
Synpcc7942_2488,ND (below stat. threshold of conf.),-0.150,Uncharacterized protein,N/A,1.73E-01,3.05E-01,-0.198881058,Yes,non-essential
Synpcc7942_2489,ND (below stat. threshold of conf.),-0.115,Uncharacterized protein,N/A,4.75E-01,6.17E-01,-0.174410021,Yes,non-essential
Synpcc7942_2490,Moderate increase,0.755,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),N/A,9.16E-18,2.09E-16,-0.205603457,Yes,non-essential
Synpcc7942_2491,Not analyzed,,DNA gyrase subunit B,gyrB,,,-0.093854829,No,essential
Synpcc7942_2492,ND (below stat. threshold of conf.),-0.017,ATPase,N/A,8.75E-01,9.23E-01,0.007790868,No,non-essential
Synpcc7942_2493,Negligable/minor,-0.351,ATPase (Uncharacterized protein),N/A,7.74E-04,3.79E-03,0.02682493,No,non-essential
Synpcc7942_2494,ND (below stat. threshold of conf.),-0.100,"Putative branched-chain amino acid ABC transporter, permease protein (Uncharacterized protein)",N/A,1.85E-01,3.22E-01,0.27134506,No,non-essential
Synpcc7942_2495,Negligable/minor,-0.258,Integral membrane protein of the ABC-type Nat permease for neutral amino acids NatD (LivH),N/A,7.86E-04,3.83E-03,0.16343416,No,non-essential
Synpcc7942_2496,ND (below stat. threshold of conf.),-0.158,Branched-chain amino-acid ABC transport system periplasmic binding protein (LivJ),N/A,3.84E-02,9.66E-02,0.064473747,No,non-essential
Synpcc7942_2497,Not analyzed,,nucleoside diphosphate kinase,"ndk, ndkR",,,0.152786184,No,ambiguous
Synpcc7942_2498,ND (below stat. threshold of conf.),-0.102,Band 7 protein (Uncharacterized protein),N/A,1.63E-01,2.92E-01,-0.587632599,No,non-essential
Synpcc7942_2499,ND (below stat. threshold of conf.),-0.188,Band 7 protein (Uncharacterized protein),N/A,2.70E-02,7.33E-02,-0.56845503,No,non-essential
Synpcc7942_2500,ND (below stat. threshold of conf.),-0.167,Uncharacterized protein,N/A,1.15E-01,2.28E-01,-0.330214594,No,non-essential
Synpcc7942_2501,Not analyzed,,phospho-2-dehydro-3-heoxyheptonate aldolase,"aroF, aroG",,,0.225151207,No,essential
Synpcc7942_2502,ND (below stat. threshold of conf.),-0.175,Uncharacterized protein,N/A,3.24E-02,8.48E-02,0.293052582,No,non-essential
Synpcc7942_2503,Not analyzed,,protochlorophyllide oxidoreductase,por,,,0.232117643,No,essential
Synpcc7942_2504,Decrease,-1.892,Uncharacterized protein,N/A,5.46E-12,7.92E-11,0.246216942,No,non-essential
Synpcc7942_2505,Negligable/minor,-0.350,Caffeoyl-CoA O-methyltransferase (EC 2.1.1.104) (CamT),N/A,1.24E-03,5.60E-03,-0.297152535,No,non-essential
Synpcc7942_2506,ND (below stat. threshold of conf.),-0.479,"Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)",N/A,6.38E-03,2.24E-02,-0.165092009,No,ambiguous
